id,short_name,name,legal_address,legal_inn,legal_kpp,legal_ogrn,region,branch
494,ЧОУ ВО «РОСИ»,Частное образовательное учреждение высшего образования «Региональный Открытый Социальный Институт»,"305001, Курская область, г Курск, Центральный округ, ул Александра Невского, д 6А",4629019211,463201001,1034637002289,83,Нет
495,ТувГУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тувинский Государственный Университет»,"667000, Республика Тыва, г Кызыл, ул Ленина, зд 36",1701010778,170101001,1021700508719,70,Нет
496,ФГБОУ ВО «УГНТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский Государственный Нефтяной Технический Университет»,"450064, Республика Башкортостан, г Уфа, Орджоникидзевский р-н, ул Космонавтов, д 1",0277006179,027701001,1020203079016,8,Нет
497,ФГБОУ ВО «ТУСУР»,Федеральное государственное автономное образовательное учреждение высшего образования «Томский Государственный Университет Систем Управления И Радиоэлектроники»,"634050, Томская область, г Томск, пр-кт Ленина, д 40",7021000043,701701001,1027000867068,56,Нет
498,ИМЭС,Автономная некоммерческая организация высшего образования «Институт Международных Экономических Связей»,"119330, г Москва, р-н Раменки, ул Мосфильмовская, д 35, кв 4",7716824812,772901001,1167700056952,14,Нет
499,ФГБОУ ВО БГМУ Минздрава России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский Государственный Медицинский Университет» министерства здравоохранения российской федерации,"450008, Республика Башкортостан, г Уфа, Кировский р-н, ул Ленина, д 3",0274023088,027401001,1020202561136,8,Нет
500,ЧОУ ВО ОИ ВПШ,Частное образовательное учреждение высшего образования «Академия Управления И Производства»,"123007, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВСКИЙ, УЛ 4-Я МАГИСТРАЛЬНАЯ, Д. 5, СТР. 2, АНТРЕСОЛЬ 2 ЭТАЖА, ПОМ. VI, КОМ. 50",7714109038,771401001,1027700499672,14,Нет
501,ЧОУ ВО «БАТиП»,Частное образовательное учреждение высшего образования «Балтийская Академия Туризма И Предпринимательства»,"197110, г Санкт-Петербург, Петроградский р-н, ул Петрозаводская, д 13 литера а",7813008520,781301001,1037828021351,66,Нет
502,ФГБОУ ВО РГАТУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский Государственный Агротехнологический Университет Имени П.А. Костычева»,"390044, Рязанская область, г Рязань, ул Костычева, д 1",6229000643,622901001,1026201074998,31,Нет
503,Московская государственная консерватория имени П.И. Чайковского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская Государственная Консерватория Имени П.И.Чайковского»,"125009, г Москва, Пресненский р-н, ул Большая Никитская, д 13",7703107663,770301001,1037739263352,14,Нет
504,ФГБОУ ВО Чувашская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чувашский Государственный Аграрный Университет»,"428000, Чувашская республика - Чувашия, г Чебоксары, ул К.Маркса, д 29",2128014360,213001001,1022101131150,40,Нет
505,Религиозная образовательная организация высшего образования «Московская семинария евангельских христиан» Централизованной религиозной организации «Ассоциации Евангельских Церквей (евангельских христиан)»,Религиозная образовательная организация высшего образования «Московская Семинария Евангельских Христиан Централизованной Религиозной Организации Ассоциация Евангельских Церквей (евангельских Христиан)»,"129327, г Москва, Бабушкинский р-н, ул Чичерина, д 10 к 2",7716238455,771601001,1077799033806,14,Нет
506,ДОУ ВО РИУ им. Кунта-Хаджи,Мусульманская религиозная организация высшего духовного образования «Российский Исламский Университет Имени Кунта-хаджи»,"364024, ЧЕЧЕНСКАЯ РЕСПУБЛИКА, Г.О. ГОРОД ГРОЗНЫЙ, Г ГРОЗНЫЙ, Р-Н АХМАТОВСКИЙ, Б-Р ИМ. М.А. ЭСАМБАЕВА, Д. 21",2013433492,201301001,1082000000466,59,Нет
507,ФГБОУ ВО «ДГТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский Государственный Технический Университет»,"367015, Республика Дагестан, г Махачкала, Советский р-н, пр-кт Имама Шамиля, д 70",0562044246,057201001,1020502629180,16,Нет
508,ЧУ ВО «МГИ»,Частное учреждение высшего образования «Мордовский Гуманитарный Институт»,"430003, Республика Мордовия, г Саранск, ул Васенко, д 3А",1326037287,132601001,1021300977774,77,Нет
509,АНО ВО «МИЭМ»,Автономная некоммерческая организация высшего образования «Международный Институт Экономики И Менеджмента»,"115211, г Москва, р-н Братеево, ул Борисовские Пруды, д 8 к 2",7725083818,772401001,1037739621260,14,Нет
510,АНО ВО ОмЭИ,Автономная некоммерческая профессиональная образовательная организация «Омская Академия Экономики И Предпринимательства»,"644112, Омская область, г Омск, Кировский округ, пр-кт Комарова, д 13",5507051940,550701001,1025501395171,24,Нет
511,МБОУ ВО ЕАСИ,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская Академия Современного Искусства» (институт),"620143, Свердловская область, г Екатеринбург, ул Культуры/Красных партизан, стр 3/9",6673147544,668601001,1069673057530,37,Нет
512,Астраханский филиал РАНХиГС,Астраханский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская Академия Народного Хозяйства И Государственной Службы При Президенте Российской Федерации»,"414045, Астраханская область, г Астрахань, ул Богдана Хмельницкого, д 33, кв 1",7729050901,302543001,1027739610018,64,Да
513,КВВУ,Федеральное государственное казенное военное образовательное учреждение высшего образования «Краснодарское Высшее Военное Орденов Жукова И Октябрьской Революции Краснознаменное Училище Имени Генерала Армии С.М.Штеменко» министерства обороны российской федерации,"350063, Краснодарский край, г Краснодар, ул им. Красина, д 4",2309147242,230901001,1157847300665,25,Нет
514,ЧОУ ВО «Сибирский юридический университет»,Частное образовательное учреждение высшего образования «Сибирский Юридический Университет»,"644010, Омская область, г Омск, Центральный округ, ул Короленко, д 12",5504046356,550401001,1025500974311,24,Нет
515,ОГУ имени И.С. Тургенева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Орловский Государственный Университет Имени И.С. Тургенева»,"302026, Орловская область, г Орёл, Заводской р-н, ул Комсомольская, зд 95",5752015309,575201001,1025700786462,6,Нет
516,МИЭЭ,Частное учреждение высшего образования «Московский Институт Энергобезопасности И Энергосбережения»,"105425, г Москва, р-н Северное Измайлово, Щёлковский проезд, д 13А",7719227050,771901001,1027739490976,14,Нет
517,Военная академия связи,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Орденов Жукова И Ленина Краснознаменная Академия Связи Имени Маршала Советского Союза С.М.Буденного» министерства обороны российской федерации,"194064, г Санкт-Петербург, Калининский р-н, Тихорецкий пр-кт, д 3",7804181617,780401001,1057801201732,66,Нет
518,ВИТиГ,Учреждение высшего образования «Владимирский Институт Туризма И Гостеприимства»,"600020, Владимирская область, г Владимир, ул Михайловская, д 63",3329043370,332801001,1073300000388,41,Нет
519,Религиозная организация - духовная образовательная организация высшего образования «Владимирская Свято - Феофановская духовная семинария города Владимира Владимирской Епархии Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Владимирская Свято-феофановская Духовная Семинария Города Владимира Владимирской Епархии Русской Православной Церкви»,"600006, Владимирская область, г Владимир, ул Большая Московская, д 68А",3329032763,332901001,1043303800011,41,Нет
520,Религиозная организация - духовная образовательная организация высшего образования «Воронежская духовная семинария Воронежской Епархии Русской Православной Церкви»,Религиозная организация-духовная образовательная организация высшего образования «Воронежская Духовная Семинария Воронежской Епархии Русской Православной Церкви»,"394033, Воронежская область, г Воронеж, Ленинский пр-кт, д 91",3663025005,366301001,1033692006380,18,Нет
521,ФГБОУ ВО Самарская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Самарский Государственный Аграрный Университет»,"446442, Самарская область, г Кинель, пгт Усть-Кинельский, ул Учебная, д 2",6350000865,635001001,1026303273061,11,Нет
522,ФГБОУ ВО «ВГИФК»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежская Государственная Академия Спорта»,"394036, Воронежская область, г Воронеж, ул Карла Маркса, д 59",3666138230,366601001,1065027031365,18,Нет
523,ОВА ВС Российской Федерации,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный Учебно-научный Центр Сухопутных Войск Общевойсковая Ордена Жукова Академия Вооруженных Сил Российской Федерации»,"119121, г Москва, р-н Хамовники, проезд Девичьего Поля, д 4",7704227836,770401001,1037739491173,14,Нет
524,НЧОУ ВО «МИЭПП»,"Негосударственное частное образовательное учреждение высшего образования «Московский Институт Экономики, Политики И Права»","115184, г Москва, р-н Замоскворечье, Климентовский пер, д 1 стр 1",7723104188,770501001,1027700023174,14,Нет
525,ФГКОУ ВО АГП РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Университет Прокуратуры Российской Федерации»,"117638, г Москва, р-н Зюзино, ул Азовская, д 2 к 1",7727615232,772701001,5077746832554,14,Нет
526,ФГБОУ ВО Вятская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Вятский Государственный Агротехнологический Университет»,"610017, Кировская область, г Киров, Октябрьский пр-кт, д 133",4346012790,434501001,1024301307690,43,Нет
527,ФГБОУ ВО «НГУАДИ»,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский Государственный Университет Архитектуры, Дизайна И Искусств Имени А.Д. Крячкова»","630099, Новосибирская область, г Новосибирск, Центральный р-н, Красный пр-кт, д 38",5406108519,540601001,1025402449819,46,Нет
528,АНО ВО «Российский новый университет»,Автономная некоммерческая организация высшего образования «Российский Новый Университет»,"105005, г Москва, Басманный р-н, ул Радио, д 22",7709469701,770901001,1157700015846,14,Нет
529,Религиозная организация– духовная образовательная организация высшего образования «Донская духовная семинария Ростовской-на-Дону Епархии Русской Православной Церкви»,Религиозная организация-духовная образовательная организация высшего образования «Донская Духовная Семинария Ростовской-на-дону Епархии Русской Православной Церкви»,"344033, Ростовская область, г Ростов-на-Дону, ул Всесоюзная, влд 196",6162050006,616201001,1076100001163,1,Нет
530,ФГКОУ ВО ДВЮИ МВД России,Федеральное государственное казенное образовательное учреждение высшего образования «Дальневосточный Юридический Институт Министерства Внутренних Дел Российской Федерации Имени И.Ф. Шилова»,"680020, Хабаровский край, г Хабаровск, Казарменный пер, д 15",2723011600,272301001,1022701193855,36,Нет
531,АНОО ВО «ВЭПИ»,Автономная некоммерческая образовательная организация высшего образования «Воронежский Экономико-правовой Институт»,"394033, Воронежская область, г Воронеж, Ленинский пр-кт, д 119А",3666134884,366101001,1063600017337,18,Нет
532,ЧОУ ВО САУМК (И),Частное образовательное учреждение высшего образования «Сибирская Академия Управления И Массовых Коммуникаций (институт)»,"630123, Новосибирская область, г Новосибирск, Заельцовский р-н, ул Лебедевского, д 1",5410155208,540201001,1045403914600,46,Нет
533,АНО ВО «Международный институт менеджмента ЛИНК»,Автономная некоммерческая организация высшего образования «Международный Институт Менеджмента Линк»,"140180, Московская область, г Жуковский, ул Менделеева, д 11/4",5040135927,504001001,1155000003718,85,Нет
534,МГУУ Правительства Москвы,Государственное автономное образовательное учреждение высшего образования «Московский Городской Университет Управления Правительства Москвы Имени Ю.М. Лужкова»,"107045, г Москва, Красносельский р-н, ул Сретенка, д 28",7729026306,770801001,1027700362634,14,Нет
535,ФГБОУ ВО Ульяновская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский Государственный Аграрный Университет Имени П.А. Столыпина»,"432000, Ульяновская область, г Ульяновск, Ленинский р-н, б-р Новый Венец, д 1",7303009510,732501001,1027301181940,84,Нет
536,ГОУ ВО МО «Государственный социально-гуманитарный университет»,Государственное образовательное учреждение высшего образования московской области «Государственный Социально-гуманитарный Университет»,"140411, Московская область, г Коломна, ул Зеленая, д 30",5022014285,502201001,1035004258475,85,Нет
537,ФГБОУ ВО «НИУ « МЭИ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный Исследовательский Университет  МЭИ»,"111250, г Москва, р-н Лефортово, ул Красноказарменная, д 14 стр 1",7722019652,772201001,1027700251644,14,Нет
538,Академия МУБиНТ,Образовательная организация высшего образования (частное учреждение) «Международная Академия Бизнеса И Новых Технологий (мубинт)»,"150003, Ярославская область, г Ярославль, ул Советская, д 80",7604036644,760601001,1027600680469,49,Нет
539,Религиозная организация - духовная образовательная организация высшего образования «Самарская духовная семинария Самарской и Сызранской Епархии Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Самарская Духовная Семинария Самарской Епархии Русской Православной Церкви»,"443110, Самарская область, г Самара, Октябрьский р-н, ул Радонежская, д 2",6316030771,631601001,1036303387086,11,Нет
540,Религиозная организация - духовная образовательная организация высшего образования «Пермская духовная семинария Пермской Епархии Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Пермская Духовная Семинария Пермской Епархии Русской Православной Церкви»,"614036, Пермский край, г Пермь, Индустриальный р-н, шоссе Космонавтов, д 185",5902709309,590501001,1035902315019,63,Нет
541,АНО «ООВО» «УЭУ»,Автономная некоммерческая организация «Образовательная Организация Высшего Образования Университет Экономики И Управления»,"295021, Республика Крым, г Симферополь, ул имени газеты ""Крымская правда"", д 4",9102174838,910201001,1159102071260,60,Нет
542,Московская духовная академия Русской Православной Церкви,Религиозная организация – духовная образовательная организация высшего образования «Московская Духовная Академия Русской Православной Церкви»,"141312, МОСКОВСКАЯ ОБЛАСТЬ, Г.О. СЕРГИЕВО-ПОСАДСКИЙ, Г СЕРГИЕВ ПОСАД, ТЕР. СВЯТО-ТРОИЦКАЯ СЕРГИЕВА ЛАВРА, КВ. АКАДЕМИЯ",5042018312,504201001,1035000010616,85,Нет
543,АНО ВО «МИСАО»,Автономная некоммерческая организация высшего образования «Московский Институт Современного Академического Образования»,"109129, г Москва, р-н Текстильщики, ул 11-я Текстильщиков, д 7",7723399502,772301001,1157700010588,14,Нет
544,Краснодарское высшее военное авиационное училище летчиков,Федеральное государственное казенное военное образовательное учреждение высшего образования «Краснодарское Высшее Военное Авиационное Училище Летчиков Имени Героя Советского Союза А.К.Серова» министерства обороны российской федерации,"350090, Краснодарский край, г Краснодар, ул им. Дзержинского, д 135",2312233082,231101001,1153668046509,25,Нет
545,Религиозная организация - духовная образовательная организация высшего образования «Ставропольская духовная семинария Ставропольской и Невинномысской Епархии Русской Православной Церкви»,Религиозная организация – духовная образовательная организация высшего образования «Ставропольская Духовная Семинария Ставропольской И Невинномысской Епархии Русской Православной Церкви»,"355017, Ставропольский край, г Ставрополь, ул Дзержинского, д 155",2636021063,263601001,1022600000884,48,Нет
546,НОУ ВО «ЛЭГИ»,Частное образовательное учреждение высшего образования «Липецкий Эколого-гуманитарный Институт»,"398050, Липецкая область, г Липецк, Советский округ, ул Нижняя Логовая, д 2",4826013427,482601001,1024840823699,12,Нет
547,Местная православная религиозная организация - духовная образовательная организация высшего образования «Белгородская Духовная семинария (с миссионерской направленностью) Православной религиозной организации Белгородской и Старооскольской епархии Русской Православной Церкви Московского Патриархата»,Религиозная организация - духовная образовательная организация высшего образования «Белгородская Православная Духовная Семинария (с Миссионерской Направленностью) Православной Религиозной Организации Белгородской И Старооскольской Епархии Русской Православной Церкви Московского Патриархата»,"308009, Белгородская область, г Белгород, Белгородский пр-кт, д 75",3123035150,312301001,1023100009900,17,Нет
548,Религиозная организация – духовная образовательная организация высшего образования «Екатеринодарская духовная семинария Екатеринодарской и Кубанской Епархии Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Екатеринодарская Духовная Семинария Екатеринодарской И Кубанской Епархии Русской Православной Церкви»,"350000, Краснодарский край, г Краснодар, ул им. Фрунзе, д 67",2308124203,230801001,1062399000047,25,Нет
549,СПбГЭТУ «ЛЭТИ»,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-петербургский Государственный Электротехнический Университет Лэти Им. В.И. Ульянова (ленина)»,"197022, г Санкт-Петербург, Петроградский р-н, ул Профессора Попова, д 5 литера ф",7813045402,781301001,1027806875381,66,Нет
550,Ярославское высшее военное училище противовоздушной обороны,Федеральное государственное казенное военное образовательное учреждение высшего образования «Ярославское Высшее Военное Училище Противовоздушной Обороны» министерства обороны российской федерации,"150001, Ярославская область, г Ярославль, Московский пр-кт, д 28",7604283530,760401001,1157847264937,49,Нет
551,НАНО ВО «ИМЦ»,Автономная некоммерческая организация высшего образования «Университет Мировых Цивилизаций Имени В.В. Жириновского»,"107078, г Москва, Басманный р-н, 1-й Басманный пер, д 3 стр 1",7708113420,770801001,1027739349329,14,Нет
552,АНО ВО «ИДК»,Автономная некоммерческая организация высшего образования «Институт Деловой Карьеры»,"111024, г Москва, р-н Лефортово, ул Авиамоторная, д 50 стр 2, помещ 47А",7709201704,772201001,1027700350413,14,Нет
553,ВИВТ - АНОО ВО,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,"394043, Воронежская область, г Воронеж, ул Ленина, д 73А",3662006761,366601001,1033600006439,18,Нет
554,«МГОТУ»,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Технологический Университет Имени Дважды Героя Советского Союза, Летчика-космонавта А.А. Леонова»","141074, Московская область, г Королёв, ул Гагарина, д 42",5018051823,501801001,1035003350821,85,Нет
555,АНО ВО «ИНО»,Автономная некоммерческая организация высшего образования «Институт Непрерывного Образования»,"109542, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ВЫХИНО-ЖУЛЕБИНО, ПР-КТ РЯЗАНСКИЙ, Д. 86/1, СТР. 3, ПОМЕЩ. 2/3",7721452574,772101001,1167700052233,14,Нет
556,Духовная образовательная религиозная организация высшего образования Русской Православной Церкви «Православный Свято-Тихоновский Богословский Институт»,Духовная образовательная религиозная организация высшего образования русской православной церкви «Православный Свято-тихоновский Богословский Институт»,"127051, г Москва, Тверской р-н, Лихов пер, д 6 стр 1",7705515322,770701001,1057700019288,14,Нет
557,ГБОУВО РК КИПУ,Государственное бюджетное образовательное учреждение высшего образования республики крым «Крымский Инженерно-педагогический Университет Имени Февзи Якубова»,"295015, Республика Крым, г Симферополь, Учебный пер, д 8",9102059433,910201001,1149102126678,60,Нет
558,ФГБОУ ВО Пензенская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Пензенский Государственный Аграрный Университет»,"440014, Пензенская область, г Пенза, Железнодорожный р-н, ул Ботаническая, влд 30",5834001770,583401001,1025801107078,38,Нет
559,АНОВО «Институт социальных наук»,Автономная некоммерческая организация высшего образования «Институт Социальных Наук»,"105005, г Москва, Басманный р-н, ул Радио, д 20 стр 1",7709449783,770901001,1157700002723,14,Нет
560,»Институт искусства реставрации» (ИИР),Частное учреждение высшего образования «Институт Искусства Реставрации»,"105037, г Москва, р-н Измайлово, тер Городок им. Баумана, д 3, кв 4",7719011879,771901001,1027739751918,14,Нет
561,СурГУ,Бюджетное учреждение высшего образования ханты-мансийского автономного округа - югры «Сургутский Государственный Университет»,"628403, Ханты-Мансийский Автономный округ - Югра, г Сургут, пр-кт Ленина, д 1",8602200001,860201001,1028600609180,22,Нет
562,Санкт-Петербургский политехнический университет Петра Великого,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-петербургский Политехнический Университет Петра Великого»,"195251, г Санкт-Петербург, Калининский р-н, ул Политехническая, д 29 литера б",7804040077,780401001,1027802505279,66,Нет
563,Религиозная духовная образовательная организация высшего образования Северо-Кавказский Библейский Институт евангельских христиан-баптистов,Религиозная духовная образовательная организация высшего образования северо-кавказский библейский институт евангельских христиан-баптистов,"361045, Кабардино-Балкарская Республика, г Прохладный, ул Пролетарская, д 70/1",0716000523,071601001,1020700000727,62,Нет
564,Православная религиозная организация - учреждение высшего профессионального религиозного образования Русской Православной Церкви «Новосибирская православная духовная семинария»,Религиозная организация - духовная образовательная организация высшего образования «Новосибирская Православная Духовная Семинария Новосибирской Епархии Русской Православной Церкви»,"633103, Новосибирская область, г Обь, ул Военный городок, д 127",5448950036,544801001,1125499000054,46,Нет
565,Религиозная организация – духовная образовательная организация высшего образования «Рязанская православная духовная семинария Рязанской епархии Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Рязанская Православная Духовная Семинария Рязанской Епархии Русской Православной Церкви»,"390000, Рязанская область, г Рязань, ул музей-заповедник Кремль, д 1",6228025980,623401001,1026200005622,31,Нет
566,Религиозная организация - духовная образовательная организация высшего образования «Сретенская духовная семинария Русской Православной Церкви»,Религиозная организация - духовная образовательная организация высшего образования «Сретенская Духовная Академия Русской Православной Церкви»,"107031, г Москва, Мещанский р-н, ул Большая Лубянка, д 19 стр 3",7702470923,770201001,1127799006741,14,Нет
567,ФГБОУ ВО Сибирская пожарно-спасательная академия ГПС МЧС России,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирская Пожарно-спасательная Академия Государственной Противопожарной Службы Министерства Российской Федерации По Делам Гражданской Обороны, Чрезвычайным Ситуациям И Ликвидации Последствий Стихийных Бедствий»","662972, Красноярский край, г Железногорск, ул Северная, д 1",2452042345,245201001,1157847144542,61,Нет
568,ЧОУ ВО СПИ,Частное образовательное учреждение высшего образования «Социально-педагогический Институт»,"368607, Республика Дагестан, г Дербент, ул Х.Тагиева, д 33 к з",0542015568,054201001,1020502001816,16,Нет
569,ФГБОУ ВО Якутская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Арктический Государственный Агротехнологический Университет»,"677021, Республика Саха (Якутия), г Якутск, шоссе Сергеляхское 3 км, д 3",1435047359,143501001,1021401044367,28,Нет
570,Религиозная организация Кубанский евангельский христианский университет,Религиозная духовная образовательная организация высшего образования кубанский евангельский христианский университет,"350016, Краснодарский край, г Краснодар, ул им. Кухаренко Я.Г., д 24",2311058938,231101001,1022300001822,25,Нет
571,АНО ВПО ЯГИ,Автономная некоммерческая образовательная организация высшего образования «Якутский Гуманитарный Институт»,"677027, Республика Саха (Якутия), г Якутск, ул Петровского, д 19",1435174036,143501001,1061400015676,28,Нет
572,Тихоокеанское высшее военно-морское училище имени С.О. Макарова,Федеральное государственное казенное военное образовательное учреждение высшего образования «Тихоокеанское Высшее Военно-морское Училище Имени С.О.Макарова» министерства обороны российской федерации (г. Владивосток),"690062, Приморский край, г Владивосток, Первореченский р-н, Камский пер, д 6",2543062042,254301001,1157847017151,27,Нет
573,НАНО ВПО «ИТИ»,Автономная некоммерческая организация «Образовательная Организация Высшего Образования Институт Театрального Искусства»,"127427, г Москва, р-н Марфино, ул Ботаническая, д 21",7715492057,771501001,1127799026960,14,Нет
574,ФГБОУ ВО «Севастопольский государственный университет»,Федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский Государственный Университет»,"299053, г Севастополь, Гагаринский р-н, ул Университетская, д 33",9201012877,920101001,1149204039181,54,Нет
575,«Дипломатическая академия МИД России»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дипломатическая Академия Министерства Иностранных Дел Российской Федерации»,"119021, г Москва, р-н Хамовники, ул Остоженка, д 53/2 стр 1",7704018590,770401001,1027700161103,14,Нет
576,Рязанское высшее воздушно-десантное командное училище (военный институт) имени генерала армии В.Ф.Маргелова,Федеральное государственное казенное военное образовательное учреждение высшего образования «Рязанское Гвардейское Высшее Воздушно-десантное Ордена Суворова Дважды Краснознаменное Командное Училище Имени Генерала Армии В.Ф.Маргелова» министерства обороны российской федерации,"390031, Рязанская область, г Рязань, пл им. генерала армии В.Ф.Маргелова, д 1",6234123841,623401001,5137746045069,31,Нет
